Depth,CALI,DRHO,DT,DTS,GR,NPHI,PEF,RACEHM,RACELM,RHOB,ROP,RPCELM,RT,PHIF,SAND_FLAG,SW,VSH
3417.4,8.6976,0.0517,76.2328,130.9403,50.8695,0.1681,5.9213,1.0807,0.9987,2.4418,26.8674,1.202,1.4643,0.119,1,0.8644,0.3163
3417.5,8.6976,0.0551,76.2706,131.4906,52.2349,0.1674,6.0177,1.0861,1.005,2.4585,27.046,1.2037,1.4479,0.1095,1,0.9348,0.3258
3417.6,8.6976,0.0607,76.4722,132.5055,51.6521,0.1679,6.0672,1.0787,1.0064,2.4708,27.2245,1.189,1.3933,0.1024,1,1,0.3218
3417.7,8.6973,0.0671,76.9688,134.1435,50.3689,0.171,6.0312,1.0581,1.0106,2.4767,27.4009,1.1423,1.2856,0.099,0,1,0.3131
3417.8,8.6637,0.0704,77.4083,135.4415,46.033,0.178,5.9132,1.024,1.0177,2.4718,27.5773,1.0319,1.0433,0.1018,1,1,0.2831
3417.9,8.6637,0.0676,77.8644,136.6684,44.3388,0.1826,5.7782,0.9916,1.0254,2.4563,27.7534,0.9964,0.9477,0.1106,1,1,0.2713
3418,8.6637,0.0611,78.4157,137.9715,43.5829,0.184,5.7168,0.9659,1.0277,2.4369,27.8688,0.9994,0.9373,0.1217,1,1,0.2662
3418.1,8.664,0.0561,78.816,139.0473,40.3584,0.1787,5.7652,0.9686,1.036,2.422,27.9842,0.9902,0.901,0.1302,1,0.9696,0.2439
3418.2,8.6973,0.0544,79.0967,139.9484,38.6627,0.1725,5.8528,1.0146,1.0544,2.4153,28.0997,0.9457,0.8097,0.1341,1,0.9871,0.2322
3418.3,8.6637,0.0543,79.1349,140.5042,38.2887,0.1679,5.885,0.9959,1.0549,2.416,28.2346,0.9637,0.9073,0.1338,1,0.9443,0.2296
3418.4,8.6637,0.054,78.9356,140.6481,36.7296,0.1627,5.8411,0.9556,1.0424,2.4223,28.3696,1.0202,1.0393,0.1302,1,0.9141,0.2188
3418.5,8.6638,0.0544,78.6066,140.4821,37.6353,0.1606,5.7801,0.9836,1.0457,2.4323,28.5044,1.039,1.0903,0.1245,1,0.9323,0.225
3418.6,8.6807,0.0568,78.1827,139.7137,38.5123,0.1596,5.7669,1.02,1.0591,2.442,28.6198,1.03,1.0307,0.1189,1,0.9935,0.2312
3418.7,8.6976,0.0601,77.7926,139.3853,37.0381,0.1626,5.7871,1.0419,1.0716,2.4477,28.7353,1.0409,1.0083,0.1156,1,1,0.2209
3418.8,8.6973,0.0629,77.4332,139.2527,38.8013,0.1661,5.7914,1.0505,1.079,2.4487,28.8505,1.0604,1.0336,0.115,1,1,0.2331
3418.9,8.664,0.0642,77.1599,138.6559,39.2895,0.168,5.76,1.0723,1.089,2.4468,28.9341,1.0708,1.0373,0.1161,1,1,0.2365
3419,8.6976,0.0639,76.8086,137.8772,37.9654,0.167,5.7285,1.0963,1.0956,2.4441,29.0178,1.0728,1.0386,0.1177,1,0.999,0.2275
3419.1,8.6976,0.0623,76.4074,136.9725,34.6804,0.1627,5.7441,1.122,1.1021,2.4423,29.1016,1.0877,1.0588,0.1187,1,0.9826,0.2047
3419.2,8.6976,0.0604,76.0845,136.1067,34.0478,0.1568,5.8162,1.1201,1.1053,2.4442,29.2249,1.1369,1.1921,0.1177,1,0.943,0.2003
3419.3,8.6976,0.0589,75.7555,134.7838,34.9171,0.1522,5.9054,1.1331,1.1113,2.4504,29.3481,1.1922,1.2947,0.1141,1,0.9365,0.2064
3419.4,8.6976,0.0581,75.4222,133.1013,33.6844,0.1514,5.9483,1.1501,1.1198,2.4584,29.4713,1.21,1.285,0.1095,1,0.9733,0.1978
3419.5,8.6973,0.0585,75.1408,133.1017,35.3648,0.1549,5.8975,1.1713,1.1338,2.4635,29.5669,1.207,1.2233,0.1066,1,1,0.2092
3419.6,8.6637,0.0604,75.0079,133.2344,39.8837,0.1643,5.7447,1.2106,1.1532,2.4618,29.6626,1.1799,1.1123,0.1075,1,1,0.2405
3419.7,8.663,0.0617,75.0305,133.5127,42.3417,0.174,5.5247,1.2179,1.1691,2.4515,29.758,1.1444,1.0461,0.1134,1,1,0.2574
3419.8,8.5794,0.0601,75.2024,134.7615,44.4648,0.1879,5.3251,1.1215,1.1474,2.4338,29.8306,1.2256,1.2348,0.1234,1,0.8953,0.2721
3419.9,8.6136,0.0552,75.4128,135.5107,47.129,0.1968,5.2661,1.1195,1.1422,2.4151,29.9032,1.2458,1.3307,0.1342,1,0.808,0.2904
3420,8.6812,0.0502,75.6637,135.5852,49.8833,0.1941,5.4095,1.1436,1.1477,2.4039,29.9755,1.2447,1.3484,0.1406,1,0.7719,0.3096
3420.1,8.7483,0.049,75.8091,135.7564,47.7862,0.1956,5.6706,1.152,1.1541,2.4042,29.9687,1.2229,1.2604,0.1405,1,0.7933,0.295
3420.2,8.7479,0.0524,75.8696,135.9262,49.7469,0.1938,5.8854,1.1649,1.1623,2.4111,29.962,1.1727,1.1101,0.1365,1,0.8574,0.3086
3420.3,8.6976,0.0576,75.8141,136.0814,48.7261,0.1936,5.9451,1.2197,1.1862,2.4161,29.9553,1.1013,0.9272,0.1337,1,0.9399,0.3017
3420.4,8.6973,0.0608,75.7049,136.3567,46.0845,0.1915,5.8822,1.2473,1.2005,2.4128,29.9756,1.059,0.8571,0.1355,1,0.9582,0.2833
3420.5,8.664,0.0601,75.5531,136.4594,46.4772,0.1861,5.8231,1.2291,1.2034,2.4034,29.996,1.0518,0.865,0.1409,1,0.9236,0.286
3420.6,8.6976,0.0564,75.3364,136.2014,47.5732,0.1778,5.8258,1.1209,1.1775,2.395,30.0162,1.1526,1.0964,0.1457,1,0.8141,0.2936
3420.7,8.6976,0.0522,75.0706,135.6949,47.7155,0.1722,5.8683,1.1234,1.169,2.3938,30.0088,1.2679,1.3272,0.1465,1,0.7495,0.2946
3420.8,8.6976,0.0499,74.8314,134.9394,48.4653,0.1683,5.91,1.1622,1.1808,2.4025,30.0015,1.3179,1.4273,0.1415,1,0.75,0.2997
3420.9,8.6976,0.05,74.6783,133.7349,50.5574,0.166,5.9305,1.2012,1.192,2.4184,29.9942,1.3556,1.4952,0.1324,1,0.7805,0.3142
3421,8.6976,0.051,74.4467,133.3225,49.7703,0.1651,5.9489,1.236,1.2075,2.436,30.0046,1.3778,1.5237,0.1223,1,0.8297,0.3088
3421.1,8.698,0.0522,74.2074,133.3849,48.3045,0.1659,6.0003,1.2909,1.2266,2.4511,30.015,1.416,1.5585,0.1137,1,0.8759,0.2986
3421.2,8.7483,0.0548,74.0151,134.1641,50.7943,0.1648,6.0965,1.3231,1.2406,2.4629,30.0252,1.4282,1.5569,0.107,1,0.9254,0.3157
3421.3,8.7483,0.0594,73.9468,135.0544,52.9344,0.1668,6.2178,1.3245,1.2572,2.4721,30.0091,1.4331,1.539,0.1017,1,0.9731,0.3306
3421.4,8.7481,0.0644,73.8468,135.9404,53.4889,0.1672,6.3133,1.3093,1.2674,2.4781,29.993,1.4298,1.4948,0.0982,0,1,0.3344
3421.5,8.7231,0.0672,73.4455,136.6404,53.0588,0.1698,6.3508,1.295,1.2886,2.4794,29.9771,1.403,1.4186,0.0975,0,1,0.3312
3421.6,8.7483,0.0667,73.7144,136.7117,57.8838,0.1664,6.3305,1.3002,1.3007,2.4763,29.9878,1.3901,1.3737,0.0993,0,1,0.3647
3421.7,8.7483,0.0639,74.2156,136.4201,58.8289,0.1667,6.2733,1.3357,1.3206,2.4718,29.9986,1.3794,1.3377,0.1018,1,1,0.3712
3421.8,8.7483,0.0607,74.247,135.7927,58.6261,0.1664,6.195,1.358,1.3225,2.4695,30.0091,1.3948,1.3422,0.1031,1,1,0.3699
3421.9,8.7481,0.0581,74.4011,135.1393,57.3296,0.164,6.0979,1.3621,1.3256,2.4707,29.9931,1.416,1.3966,0.1025,1,1,0.361
3422,8.7227,0.0565,74.5733,134.4984,54.9096,0.1636,5.9928,1.3606,1.3276,2.4737,29.9772,1.4408,1.45,0.1007,1,1,0.3442
3422.1,8.6976,0.0557,74.3061,134.0839,55.2058,0.1603,5.9188,1.3791,1.3389,2.4773,29.9614,1.4755,1.5225,0.0987,0,1,0.3462
3422.2,8.6978,0.0555,74.1222,133.6177,57.1402,0.1594,5.909,1.3962,1.3427,2.4804,29.972,1.4766,1.5286,0.0969,0,1,0.3596
3422.3,8.7231,0.0561,73.9974,133.102,56.8597,0.1592,5.9715,1.4065,1.3429,2.4833,29.9826,1.4897,1.5378,0.0953,0,1,0.3576
3422.4,8.7483,0.0584,73.8627,132.4023,57.0493,0.165,6.0776,1.4176,1.3463,2.4858,29.993,1.4976,1.5498,0.0938,0,1,0.3589
3422.5,8.7483,0.0629,73.9379,131.894,58.3138,0.1704,6.184,1.4402,1.3442,2.4873,29.9769,1.503,1.5467,0.093,0,1,0.3677
