Depth,CALI,DRHO,DT,DTS,GR,NPHI,PEF,RACEHM,RACELM,RHOB,ROP,RPCELM,RT,PHIF,KLOGH,SAND_FLAG,SW,VSH
3504.2,8.6719,0.0653,63.0798,105.4298,45.6365,0.0774,6.0376,3.9893,3.3264,2.6504,19.5156,4.5037,5.4616,0.02,0.001,0,1,0.3301
3504.3,8.6719,0.0658,63.4392,105.5566,45.1651,0.0789,6.0663,4.0161,3.3191,2.6506,19.7191,4.4775,5.3275,0.02,0.001,0,1,0.3258
3504.4,8.6719,0.0664,63.7389,105.6855,44.3608,0.0802,6.1337,4.04,3.33,2.6497,19.7083,4.4578,5.2395,0.02,0.001,0,1,0.3186
3504.5,8.6719,0.067,64.0387,105.8145,42.8221,0.0807,6.2298,4.0545,3.3352,2.648,19.6975,4.4787,5.2612,0.02,0.0011,0,1,0.3047
3504.6,8.6719,0.0674,64.3137,105.9401,42.7539,0.0804,6.329,4.097,3.3349,2.6464,19.6864,4.5143,5.3193,0.02,0.0011,0,1,0.3041
3504.7,8.6719,0.067,64.3614,106.0353,42.831,0.0801,6.4018,4.1563,3.3469,2.6452,19.6256,4.5635,5.3924,0.02,0.0011,0,1,0.3047
3504.8,8.6719,0.0655,64.409,106.1305,44.6282,0.0806,6.4393,4.1683,3.3467,2.6444,19.5647,4.6193,5.4972,0.02,0.001,0,1,0.321
3504.9,8.6719,0.0629,64.443,106.2245,45.1501,0.082,6.4565,4.1609,3.3357,2.6429,19.5042,4.6787,5.6343,0.02,0.001,0,1,0.3257
3505,8.6719,0.0601,64.2159,106.2922,44.3995,0.0838,6.4708,4.1559,3.3254,2.6408,19.5772,4.7395,5.8014,0.02,0.001,0,1,0.3189
3505.1,8.6719,0.058,63.9888,106.3599,43.2257,0.0851,6.5094,4.1692,3.3161,2.6403,19.6502,4.7533,5.8673,0.02,0.0011,0,1,0.3083
3505.2,8.6719,0.056,63.7615,106.4276,44.1925,0.0854,6.5701,4.1907,3.312,2.6422,19.7187,4.7682,5.9234,0.02,0.001,0,1,0.317
3505.3,8.6719,0.0532,63.5162,106.5097,44.6671,0.0846,6.6244,4.2089,3.3046,2.6466,18.2421,4.7765,5.9752,0.02,0.001,0,1,0.3213
3505.4,8.6719,0.0508,63.2708,106.5918,45.0556,0.0833,6.6324,4.24,3.291,2.6525,16.7655,4.7722,5.9988,0.02,0.001,0,1,0.3248
3505.5,8.6719,0.0516,63.0259,106.674,44.5405,0.0825,6.588,4.2863,3.2878,2.6595,15.2927,4.7711,5.9797,0.02,0.001,0,1,0.3202
3505.6,8.6719,0.0563,62.937,106.7718,43.1983,0.0829,6.528,4.3229,3.2775,2.6656,15.1189,4.7568,5.94,0.02,0.0011,0,1,0.3081
3505.7,8.6719,0.0635,62.8562,106.8704,41.6316,0.0843,6.5078,4.3538,3.2812,2.6686,14.9452,4.7274,5.8768,0.02,0.0011,0,1,0.294
3505.8,8.672,0.0705,62.7759,106.9692,41.4161,0.0862,6.5398,4.3681,3.2903,2.6664,14.7725,4.7204,5.8354,0.02,0.0011,0,1,0.292
3505.9,8.703,0.0743,62.9029,107.1303,41.298,0.0882,6.5929,4.3023,3.2853,2.6589,14.937,4.7663,5.9409,0.02,0.0011,0,1,0.291
3506,8.6719,0.0741,63.0518,107.2981,40.5304,0.0908,6.6124,4.234,3.2788,2.6488,15.1016,4.7899,6.0648,0.02,0.0012,0,1,0.2841
3506.1,8.6719,0.0712,63.2011,107.4655,39.4677,0.0934,6.5802,4.2204,3.278,2.6406,15.269,4.7925,6.0304,0.02,0.0012,0,1,0.2746
3506.2,8.6719,0.0671,63.4014,107.4781,36.7216,0.0949,6.5192,4.2484,3.2803,2.6371,16.4077,4.6833,5.6763,0.02,0.0014,0,1,0.2497
3506.3,8.6719,0.0628,63.6104,107.4644,37.4079,0.0946,6.4683,4.2306,3.2839,2.6378,17.5465,4.6136,5.5087,0.02,0.0013,0,1,0.2559
3506.4,8.6719,0.059,63.8194,107.4511,39.3099,0.0926,6.4441,4.189,3.2852,2.6399,18.6853,4.5805,5.4362,0.02,0.0012,0,1,0.273
3506.5,8.6719,0.0566,64.0451,107.6424,40.6495,0.0901,6.4576,4.1579,3.2867,2.6422,19.8819,4.5459,5.3705,0.02,0.0012,0,1,0.2851
3506.6,8.6719,0.0561,64.2748,107.8823,40.7833,0.0878,6.5037,4.1133,3.2921,2.6449,21.0785,4.4671,5.2294,0.02,0.0012,0,1,0.2863
3506.7,8.6719,0.0572,64.5045,108.1224,43.1621,0.0856,6.5596,4.0536,3.2859,2.6477,22.2723,4.3849,5.0386,0.02,0.0011,0,1,0.3078
3506.8,8.6719,0.0584,64.7251,108.4148,43.3512,0.0838,6.5753,3.9952,3.2887,2.6496,22.4804,4.3136,4.8758,0.02,0.001,0,1,0.3095
3506.9,8.6719,0.0592,64.9428,108.7239,42.9707,0.0825,6.5324,3.9478,3.286,2.6507,22.6885,4.237,4.7502,0.02,0.0011,0,1,0.306
3507,8.6719,0.0602,65.1605,109.0332,43.1317,0.0821,6.4714,3.9053,3.2829,2.6508,22.8966,4.2126,4.6592,0.02,0.0011,0,1,0.3075
3507.1,8.6719,0.0616,65.3915,109.4315,43.2083,0.082,6.4328,3.8826,3.2958,2.6494,23.0907,4.2707,4.8189,0.02,0.0011,0,1,0.3083
3507.2,8.6719,0.062,65.6277,109.866,40.5248,0.0821,6.417,3.8567,3.2996,2.6465,23.2847,4.3109,4.9293,0.02,0.0012,0,1,0.284
3507.3,8.6719,0.061,65.8638,110.3006,40.4507,0.0822,6.4143,3.8289,3.2979,2.6436,23.4788,4.3196,4.9671,0.02,0.0012,0,1,0.2833
3507.4,8.6719,0.0594,66.0941,110.8036,40.365,0.0825,6.4102,3.8114,3.3014,2.6419,23.7234,4.3141,4.9772,0.02,0.0012,0,1,0.2826
3507.5,8.6719,0.0577,66.3213,111.3413,39.7882,0.0833,6.3857,3.7746,3.294,2.6413,23.968,4.2844,4.9328,0.02,0.0012,0,1,0.2773
3507.6,8.6719,0.056,66.5485,111.8792,40.9923,0.0841,6.3613,3.7333,3.295,2.6407,24.2112,4.2013,4.8013,0.02,0.0012,0,1,0.2883
3507.7,8.6719,0.0541,66.7271,112.4587,39.5154,0.085,6.3292,3.7255,3.301,2.6391,23.9988,4.1504,4.7033,0.02,0.0012,0,1,0.2749
3507.8,8.6719,0.0525,66.8755,113.0644,41.2353,0.0854,6.3215,3.7244,3.3077,2.6372,23.7864,4.108,4.615,0.02,0.0011,0,1,0.2903
3507.9,8.6719,0.0525,67.0237,113.6698,46.8893,0.0847,6.3388,3.7233,3.3144,2.6373,23.5754,4.0656,4.5271,0.02,0.001,0,1,0.3412
3508,8.6719,0.0549,67.112,114.1184,52.2554,0.083,6.3558,3.712,3.3094,2.64,23.904,4.0804,4.5136,0.02,0.001,0,1,0.3896
3508.1,8.6719,0.0584,67.1546,114.4478,55.3192,0.0808,6.3428,3.6814,3.3084,2.6428,24.2327,4.071,4.5191,0.02,0.001,0,1,0.4173
